,CGAC AGENCY CODE,AGENCY NAME,AGENCY ABBREVIATION,FREC,FREC Entity Description,FREC ABBREVIATION,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,Admin Org Name,ADMIN_ORG,TOPTIER_FLAG,IS_FREC,FREC CGAC ASSOCIATION,USER SELECTABLE ON USASPENDING.GOV,MISSION,ABOUT AGENCY DATA,WEBSITE,CONGRESSIONAL JUSTIFICATION,ICON FILENAME,COMMENT
1446,394,National Capital Planning Commission,NCPC,9527,National Capital Planning Commission,NCPC,9502,National Capital Planning Commission,NCPC,,,True,False,True,True,,,https://www.ncpc.gov/,https://www.ncpc.gov/docs/NCPC_Justification_for_Appropriation_FY_2022.pdf,,Added FY22 CJ on 11-16-21 (not standard link format)
1448,413,National Council on Disability,NCD,9530,National Council on Disability,NCD,9509,National Council on Disability,NCD,,,True,False,True,True,"NCD's mission is to be a trusted advisor, in collaboration with people with disabilities to: The President; The Congress; Federal entities; State, tribal communities, and local governments; and Other entities and organizations. NCD fulfills its advisory roles regarding disability policies, programs, procedures, and practices that enhance equal opportunity by: Convening stakeholders to acquire timely and relevant input for recommendations and action steps; Gathering and analyzing data and other information; Engaging and influencing current debates and agendas; Identifying and formulating solutions to emerging and long-standing challenges; and Providing tools to facilitate effective implementation.",,https://www.ncd.gov/,https://www.ncd.gov/cj,,Added b/c code in A-11 circular
1449,417,National Endowment for the Arts,NEA,5901,National Endowment for the Arts,NEA,5920,National Endowment for the Arts,NEA,,,True,False,True,True,"The National Endowment for the Arts is an independent federal agency that funds, promotes, and strengthens the creative capacity of our communities by providing all Americans with diverse opportunities for arts participation.",,https://www.arts.gov/,https://www.arts.gov/cj,,CGAC conflict; will be resolved soon
1454,418,National Endowment for the Humanities,NEH,5902,National Endowment for the Humanities,NEH,4340,National Endowment for the Humanities,NEH,,,True,False,True,True,The National Endowment for the Humanities serves and strengthens our nation by supporting high quality projects and programs in the humanities and by making the humanities available to all Americans.,,https://www.neh.gov/,https://www.neh.gov/cj,,Received request on 4/9 from FPDS/GSA to add this code. NEH's old code of 5940 was end-dated on 12/31/18. This 4340 code went into use on 10/1/18 and will be the new code henceforth.
1456,420,National Labor Relations Board,NLRB,6300,National Labor Relations Board,NLRB,6300,National Labor Relations Board,NLRB,,,True,False,True,True,"Protecting workplace democracy and the rights of employees, unions and employers under the National Labor Relations Act, in order to promote commerce and strengthen the Nation's economy.",,https://www.nlrb.gov/,https://www.nlrb.gov/cj,,
1457,421,National Mediation Board,NMB,9531,National Mediation Board,NMB,9524,National Mediation Board,NMB,,,True,False,True,True,,,https://nmb.gov/,https://nmb.gov/cj,,
1458,424,National Transportation Safety Board,NTSB,9532,National Transportation Safety Board,NTSB,9508,National Transportation Safety Board,NTSB,,,True,False,True,True,Independently Advancing Transportation Safety,,https://www.ntsb.gov/,https://www.ntsb.gov/cj,,
1460,431,Nuclear Waste Technical Review Board,NWTRB,4811,Nuclear Waste Technical Review Board,NWTRB,4856,Nuclear Waste Technical Review Board,NWTRB,,,True,False,True,True,,,https://www.nwtrb.gov/,https://www.nwtrb.gov/cj,,2/17/20: Added CJ link upon agency request
1461,432,Occupational Safety and Health Review Commission,OSHRC,9533,Occupational Safety & Health Review Commission,OSHRC,9514,Occupational Safety and Health Review Commission,OSHRC,,,True,False,True,True,"Provide an impartial forum for the just and prompt adjudication of workplace safety and health disputes involving the Department of Labor, employers, and employees, and/or their representatives under the Occupational Safety and Health Act of 1970 (Act), 29 U.S.C. 651-678.",,https://www.oshrc.gov/,https://www.oshrc.gov/cj,,
1462,434,Office of Government Ethics,OGE,9534,Office of Government Ethics,OGE,9549,Office of Government Ethics,OGE,,,True,False,True,True,Provide overall leadership and oversight of the executive branch ethics program designed to prevent and resolve conflicts of interest.,,https://www.oge.gov/,https://www.oge.gov/cj,,
1463,435,Office of Navajo and Hopi Indian Relocation,ONHIR,4812,Office of Navajo & Hopi Indian Relocation,ONHIR,4849,Office of Navajo and Hopi Indian Relocation,ONHIR,,,True,False,True,False,,,,,,
1473,471,Gulf Coast Ecosystem Restoration Council,GCERC,9577,Gulf Coast Ecosystem Restoration Council,GCERC,9533,Gulf Coast Ecosystem Restoration Council,,,,True,False,True,True,"The Council was formally established in 2015 as a new, independent Federal Agency with a clear mission to implement a long-term, comprehensive plan for the ecological and economic recovery of the Gulf Coast region.",,https://www.restorethegulf.gov/,https://www.restorethegulf.gov/cj,,
1474,472,Surface Transportation Board,STB,9501,Surface Transportation Board,STB,9505,Surface Transportation Board,STB,,,True,False,True,True,"The STB serves as an effective Federal forum for efficient resolution of surface transportation issues and disputes subject to its jurisdiction. The STB is vested with both adjudicatory and policy-making functions and exercises regulatory oversight efficiently and fairly, while working to integrate market forces.",,https://www.stb.gov/,https://www.stb.gov/cj,,"5/2/19: at some point in the last year, STB started using 9505 as a SubTier code. The previous code, 6969, was a legacy of their time as part of DOT (CGAC = 069). At some point after becoming a separate agency, this 9605 SubTier was created so that the SubTier numbering would no longer imply it remained part of DOT."
1476,473,Federal Permitting Improvement Steering Council,FPISC,9586,Federal Permitting Improvement Steering Council,FPISC,9550,Federal Permitting Improvement Steering Council,FPISC,,,True,False,True,False,"Improve the timeliness, predictability, and transparency of the Federal environmental review and authorization process for large-scale infrastructure projects by serving as an impartial Federal partner responsible for enhancing interagency coordination, increasing  accountability, and overseeing process improvements.",,https://www.permits.performance.gov/fpisc-content/federal-permitting-improvement-steering-council,https://www.permits.performance.gov/documentation/fpisc-fy-2022-budget-request,,"Used to be part of GSA, but was made a separate agency in 2020. Added the SubTier that now exists and marking as a TopTier. Planning to submit starting FY20Q2. 12/30/21 updated CJ link per agency request."
1477,474,Institute of Museum and Library Services,IMLS,5903,Institute of Museum and Library Services,IMLS,5300,Institute of Museum and Library Services,IMLS,,,True,False,True,True,"The mission of IMLS is to inspire libraries and museums to advance innovation, lifelong learning, and cultural and civic engagement. We provide leadership through research, policy development, and grant making.",,https://www.imls.gov/,https://www.imls.gov/cj,,getting own CGAC soon (474). Going to go ahead and replace 417 with 474.
1483,485,Corporation for National and Community Service,CNCS,9515,Corporation for National & Community Service,CNCS,9577,Corporation for National and Community Service,CNCS,,,True,False,True,True,"Improving lives, strengthening communities and fortifying the civic health of our nation.",,https://www.nationalservice.gov/,https://www.nationalservice.gov/cj,,
1485,487,Morris K. Udall and Stewart L. Udall Foundation,UDALL,9542,Morris K. Udall Scholarship Foundation,UDALL,9545,Morris K. Udall and Stewart L. Udall Foundation,UDALL,,,True,False,True,True,"The Udall Foundation's mission is to provide programs to promote leadership, education, collaboration, and conflict resolution in the areas of environment, public lands, and natural resources in order to strengthen Native nations, assist federal agencies and others to resolve environmental conflicts, and to encourage the continued use and appreciation of our nation's rich resources.",,https://udall.gov/,https://udall.gov/cj,,
1486,510,United States Chemical Safety Board,CSB,9548,Chemical Safety and Hazard Investigation Board,CSB,9565,United States Chemical Safety Board,CSB,,,True,False,True,True,Drive chemical safety change through independent investigations to protect people and the environment.,,https://www.csb.gov/,https://www.csb.gov/cj,,June 2021: changed to IS_FREC = FALSE. Not sure why it was marked TRUE earlier. May have been a mistake when 511 was converted to FREC.
1491,512,Presidio Trust,PRESIDIO,9550,Presidio Trust,PRESIDIO,9570,Presidio Trust,PT,,,True,False,True,False,"In partnership with the National Park Service and the Golden Gate National Parks Conservancy, and at no cost to taxpayers, the Presidio Trust brings alive the unique historic, natural, and recreational assets of the Presidio for the inspiration, education, health, and enjoyment of all people.",,https://www.presidio.gov/,https://www.presidio.gov/presidio-trust/planning-internal/Shared%20Documents/Financial%20Documents/FIN-311-FY2022BudJust-20210602.pdf,PRESIDIO.png,12/30/21: added several items for Presidio
1492,513,Denali Commission,DENALI,9555,Denali Commission,DENALI,9572,Denali Commission,DC,,,True,False,True,True,"The Denali Commission will partner with tribal, federal, state, and local governments and collaborate with all Alaskans to develop basic public infrastructure and enhance the quality of life in Alaska's communities.",,https://www.denali.gov/,https://www.denali.gov/cj,,
1493,514,U.S. Agency for Global Media,USAGM,9554,Broadcasting Board of Governors,BBG,9568,U.S. Agency for Global Media,USAGM,,,True,False,True,True,"The mission of United States Agency for Global Media (USAGM) is to inform, engage, and connect people around the world in support of freedom and democracy.",,https://www.usagm.gov/,,,12/29/19: changed to USAGM from BBG at both SubTier and TopTier level. Also changed website and removed CJ (b/c non-functional)
1494,517,Delta Regional Authority,DRA,9559,Delta Regional Authority,DRA,9547,Delta Regional Authority,DRA,,,True,False,True,True,"The Delta Regional Authority will advance its communities through the practical application of innovative ideas and strategies that foster inclusive commuinities, strengthen regional collaboration and capacity, achieve sustained, long-term economic development and produce meaningful opportunities for all the Delta people.",,https://dra.gov/,https://dra.gov/cj,,
1496,519,Vietnam Education Foundation,VEF,9561,Vietnam Education Foundation,VEF,9536,Vietnam Education Foundation,VEF,,,True,False,True,True,,The Vietnam education foundation shut down in 2018. Its last DATA Act submission was in FY18Q4.,,,,"8/3/22: added this subtier b/c it is in the award data. Because the other VEF subtier does not seem to be in SubTier data, went ahead and made this the 'toptier_flag  subtier'. The VEF has been shut down but does have some historical data."
1499,524,Millennium Challenge Corporation,MCC,9563,Millennium Challenge Corporation,MCC,9543,Millennium Challenge Corporation,MCC,,,True,False,True,True,MCC's mission is to reduce poverty through economic growth.,,https://www.mcc.gov/,https://www.mcc.gov/cj,,
1500,525,Election Assistance Commission,EAC,9564,Election Assistance Commission,EAC,9523,Election Assistance Commission,EAC,,,True,False,True,True,"The Commission shall serve as a national clearinghouse and resource for the compilation of information and review of procedures with respect to the administration of Federal elections by creating and maintaining voluntary voting system guidelines; providing for the testing, certification, decertification, and recertification of voting system hardware and software by accredited laboratories; periodically conducting and making available to the public studies regarding election administration issues; making payments to states to help them procure new voting equipment; developing and carrying out the Help America Vote College Program. - Public Law 107-252",,https://www.eac.gov/,https://www.eac.gov/cj,,
1507,535,Privacy and Civil Liberties Oversight Board,PCLOB,9578,Privacy and Civil Liberties Oversight Board,PCLOB,9526,Privacy and Civil Liberties Oversight Board,PCLOB,,,True,False,True,True,,,https://www.pclob.gov/,,,
1512,542,Council of the Inspectors General on Integrity and Efficiency,CIGIE,9567,Council of Inspectors Gen. on Integrity & Efficien,CIGIE,9511,Council of the Inspectors General on Integrity and Efficiency,CIGIE,,,True,False,True,True,"Address integrity, economy, and effectiveness issues that transcend individual Government agencies; and increase the professionalism and effectiveness of personnel by developing policies, standards, and approaches to aid in the establishment of a well-trained and highly skilled workforce in the offices of the Inspectors General.",,https://www.ignet.gov/,https://www.ignet.gov/cj,,
1516,573,Northern Border Regional Commission,NBRC,9570,National Border Regional Commission,NBRC,9557,Northern Border Regional Commission,NBRC,,,True,False,True,True,"The mission of the Northern Border Regional Commission is to catalyze regional, collaborative, and transformative community economic development approaches that alleviate economic distress and position the region for economic growth.",,https://www.nbrc.gov/,https://www.nbrc.gov/content/CJ,,Added b/c code in A-11 circular. SubTier taken from FPDS file. Didn't actually use HTTPS when I checked on 3/6/20 but adding anyway. Added FY22 CJ on 11-16-21 (not in standard URL format)
1520,579,Patient-Centered Outcomes Research Trust Fund,PCORTF,9572,Patient Centered Outcomes Research Trust Fund,PCORTF,,,,,,True,False,True,True,"Provide for the coordination of relevant Federal health programs to build data capacity for comparative clinical effectiveness research, including the development and use of clinical registries and health outcomes research networks, in order to develop and maintain a comprehensive, interoperable data network to collect, link, and analyze data on outcomes and effectiveness from multiple sources including electronic health records.",,https://aspe.hhs.gov/patient-centered-outcomes-research-trust-fund,,,"10-24-19 update: Does submit to Broker, but doesn't have a SubTier or seemingly submit contracts or FA (should it? Probably not). Needs an icon on the website to go with its new agency page if one can be found."
1522,581,Consumer Financial Protection Bureau,CFPB,9571,Bureau of Consumer Financial Protection,CFPB,955F,Consumer Financial Protection Bureau,CFPB,,,True,False,True,True,"The CFPB is a 21st century agency that helps consumer finance markets work by making rules more effective, by consistently and fairly enforcing those rules, and by empowering consumers to take more control over their economic lives.",,https://www.consumerfinance.gov/,https://www.consumerfinance.gov/cj,,
